METHOD;N;K;TIME;RMSE;n;nu_1;nu_2;theta_1;theta_2
coKNN;1000;5;21.629719495773315;0.2705503850300635;5000.0;0.5;0.5;2.0;2.5
NcoK KM;1000;5;64.29355216026306;0.2736414546711461;5000.0;0.5;0.5;2.0;2.5
NcoK KM+;1000;5;137.73445081710815;0.2763659998777817;5000.0;0.5;0.5;2.0;2.5
coKNN;500;10;22.28354430198669;0.2706112920293005;5000.0;0.5;0.5;2.0;2.5
NcoK KM;500;10;123.04937028884888;0.2727947842362134;5000.0;0.5;0.5;2.0;2.5
NcoK KM+;500;10;33.85297155380249;0.2750116462832786;5000.0;0.5;0.5;2.0;2.5
coKNN;100;50;0.4691767692565918;0.2709594586101115;5000.0;0.5;0.5;2.0;2.5
NcoK KM;100;50;32.24653196334839;0.2765473693886051;5000.0;0.5;0.5;2.0;2.5
NcoK KM+;100;50;46.3372585773468;0.2728544189316652;5000.0;0.5;0.5;2.0;2.5
coKNN;10;500;0.12005615234375;0.281889653696391;5000.0;0.5;0.5;2.0;2.5
NcoK KM;10;500;79.03223752975464;0.2731984311271006;5000.0;0.5;0.5;2.0;2.5
NcoK KM+;10;500;76.64463567733765;0.2766701320799575;5000.0;0.5;0.5;2.0;2.5
coKNN;5;1000;0.0712676048278808;0.285895447080243;5000.0;0.5;0.5;2.0;2.5
NcoK KM;5;1000;165.6286654472351;0.2788701009426332;5000.0;0.5;0.5;2.0;2.5
NcoK KM+;5;1000;165.2485067844391;0.2709951297190733;5000.0;0.5;0.5;2.0;2.5
coK;5000;1;3.716894388198853;0.2705582700228158;5000.0;0.5;0.5;2.0;2.5
coKNN;1000;5;16.432733058929443;0.2309738678383775;5000.0;0.5;0.5;2.0;2.5
NcoK KM;1000;5;55.1685802936554;0.233635061239412;5000.0;0.5;0.5;2.0;2.5
NcoK KM+;1000;5;56.93014979362488;0.2343969260581953;5000.0;0.5;0.5;2.0;2.5
coKNN;500;10;4.320694923400879;0.2309195007926419;5000.0;0.5;0.5;2.0;2.5
NcoK KM;500;10;32.56265878677368;0.2366353418342973;5000.0;0.5;0.5;2.0;2.5
NcoK KM+;500;10;32.21101975440979;0.2361033490165215;5000.0;0.5;0.5;2.0;2.5
coKNN;100;50;0.5008313655853271;0.2310729988159442;5000.0;0.5;0.5;2.0;2.5
NcoK KM;100;50;30.904715538024902;0.2486780103853808;5000.0;0.5;0.5;2.0;2.5
NcoK KM+;100;50;30.80460286140442;0.2394467585810405;5000.0;0.5;0.5;2.0;2.5
coKNN;10;500;0.1246576309204101;0.2355316456658837;5000.0;0.5;0.5;2.0;2.5
NcoK KM;10;500;75.20982623100281;0.2451993582252598;5000.0;0.5;0.5;2.0;2.5
NcoK KM+;10;500;75.70203566551208;0.2509822304259476;5000.0;0.5;0.5;2.0;2.5
coKNN;5;1000;0.0791752338409423;0.2450172410381271;5000.0;0.5;0.5;2.0;2.5
NcoK KM;5;1000;169.91895461082458;0.2495798435565891;5000.0;0.5;0.5;2.0;2.5
NcoK KM+;5;1000;160.08136010169983;0.2363502270009498;5000.0;0.5;0.5;2.0;2.5
