sym;nu;m;time_gen_blocks;time_predict;rmse
True;0.5;75;0.2134840488433838;3461.58856344223;0.03794184108156967
True;0.5;125;0.16916823387145996;3767.4657788276672;0.045620812534803136
True;0.5;175;0.19965791702270508;4514.7981560230255;0.041822404690551075
False;0.5;75;0.09442329406738281;3192.431017637253;0.0373471650204444
False;0.5;125;0.16125917434692383;3630.286178588867;0.04471140243330524
False;0.5;175;0.18309354782104492;4178.570658922195;0.040666423198803224
True;1.5;75;0.09909296035766602;3111.2742133140564;0.019212809047773987
True;1.5;125;0.16028237342834473;3687.5512397289276;0.024687072315921273
True;1.5;175;0.1830577850341797;4281.81907582283;0.021340754276798917
False;1.5;75;0.09477877616882324;3218.4692783355713;0.015597678345729784
False;1.5;125;0.1457655429840088;3767.5161480903625;0.020556820562594044
False;1.5;175;0.18248605728149414;4293.9046421051025;0.018024376587076757
