METHOD;N;K;TIME;RMSE;a
coKNN;100;10;0.4342238903045654;0.4381703819732465;[0.1 0.1]
NcoK;100;10;4.552118301391602;0.4409086747529298;[0.1 0.1]
coKNN;50;20;0.1900491714477539;0.4463382053696865;[0.1 0.1]
NcoK;50;20;4.68208646774292;0.4538502488603844;[0.1 0.1]
coKNN;20;50;0.0713758468627929;0.4534580578472655;[0.1 0.1]
NcoK;20;50;2.9002535343170166;0.4519642970257388;[0.1 0.1]
coKNN;10;100;0.0387156009674072;0.4537543374780134;[0.1 0.1]
NcoK;10;100;3.1191556453704834;0.4523797429697787;[0.1 0.1]
coKNN;5;200;0.0272982120513916;0.4609909750424275;[0.1 0.1]
NcoK;5;200;4.989863157272339;0.4434328689562445;[0.1 0.1]
coK;1000;1;0.0787656307220459;0.4383440425602921;[0.1 0.1]
coKNN;100;10;0.5435764789581299;0.4075616081219567;[0.1 0.1]
NcoK;100;10;4.829083204269409;0.4334846196384976;[0.1 0.1]
coKNN;50;20;0.181692361831665;0.4297010955471313;[0.1 0.1]
NcoK;50;20;3.6903176307678223;0.40861481227066;[0.1 0.1]
coKNN;20;50;0.0716278553009033;0.4451349256066234;[0.1 0.1]
NcoK;20;50;3.039125680923462;0.444071638477565;[0.1 0.1]
coKNN;10;100;0.0394272804260253;0.4424069455029938;[0.1 0.1]
NcoK;10;100;3.0598597526550293;0.4316404613449277;[0.1 0.1]
coKNN;5;200;0.0287673473358154;0.4536590013108175;[0.1 0.1]
NcoK;5;200;10.998477697372437;0.4181144228522039;[0.1 0.1]
coK;1000;1;0.7785294055938721;0.4142193204938589;[0.1 0.1]
coKNN;100;10;6.659893035888672;0.3762276177967557;[0.1 0.1]
NcoK;100;10;24.199015140533447;0.3878390325225827;[0.1 0.1]
coKNN;50;20;0.1909773349761963;0.3856508350755673;[0.1 0.1]
NcoK;50;20;3.738750457763672;0.3790896903847793;[0.1 0.1]
coKNN;20;50;0.0700235366821289;0.3971469756022519;[0.1 0.1]
NcoK;20;50;2.887126207351685;0.3877175246903388;[0.1 0.1]
coKNN;10;100;0.0484588146209716;0.3964510291778565;[0.1 0.1]
NcoK;10;100;2.9996769428253174;0.3946388970634253;[0.1 0.1]
coKNN;5;200;0.0209772586822509;0.4031664067768756;[0.1 0.1]
NcoK;5;200;4.986947774887085;0.3831582956373506;[0.1 0.1]
coK;1000;1;0.0814402103424072;0.3771781774883338;[0.1 0.1]
coKNN;100;10;0.5196394920349121;0.4167241192375844;[0.1 0.1]
NcoK;100;10;6.682821273803711;0.4271654145712781;[0.1 0.1]
coKNN;50;20;0.1834404468536377;0.4194316143728789;[0.1 0.1]
NcoK;50;20;3.483728647232056;0.4130664547338346;[0.1 0.1]
coKNN;20;50;0.0627202987670898;0.4227661257276433;[0.1 0.1]
NcoK;20;50;2.912036180496216;0.4261558919646083;[0.1 0.1]
coKNN;10;100;0.0383198261260986;0.4215522339259979;[0.1 0.1]
NcoK;10;100;2.9651124477386475;0.418453909133043;[0.1 0.1]
coKNN;5;200;0.0314581394195556;0.4206024338716844;[0.1 0.1]
NcoK;5;200;4.748723268508911;0.4347851595588763;[0.1 0.1]
coK;1000;1;0.0637133121490478;0.41508145507426;[0.1 0.1]
coKNN;100;10;0.4308507442474365;0.395576223384944;[0.1 0.1]
NcoK;100;10;4.034370183944702;0.4057009331931076;[0.1 0.1]
coKNN;50;20;0.184833288192749;0.4146056611913014;[0.1 0.1]
NcoK;50;20;3.520216464996338;0.4182783485394907;[0.1 0.1]
coKNN;20;50;0.0782570838928222;0.4198973485784423;[0.1 0.1]
NcoK;20;50;2.900982141494751;0.4197088804050117;[0.1 0.1]
coKNN;10;100;0.0353245735168457;0.4206755781508173;[0.1 0.1]
NcoK;10;100;3.0821127891540527;0.4185602645458263;[0.1 0.1]
coKNN;5;200;0.019747257232666;0.4354659751126195;[0.1 0.1]
NcoK;5;200;4.999307870864868;0.4181620771901688;[0.1 0.1]
coK;1000;1;0.0688121318817138;0.3987485038307722;[0.1 0.1]
coKNN;100;10;0.4527857303619385;0.425048117661656;[0.1 0.1]
NcoK;100;10;3.9814586639404297;0.4178488725557426;[0.1 0.1]
coKNN;50;20;0.1834826469421386;0.4462740188725986;[0.1 0.1]
NcoK;50;20;3.5034196376800537;0.4437422765700637;[0.1 0.1]
coKNN;20;50;0.0671515464782714;0.472375831378889;[0.1 0.1]
NcoK;20;50;2.899372100830078;0.43660675038485;[0.1 0.1]
coKNN;10;100;0.0507063865661621;0.4748602233473593;[0.1 0.1]
NcoK;10;100;3.067518949508667;0.4491633111406315;[0.1 0.1]
coKNN;5;200;0.0313179492950439;0.473862054828041;[0.1 0.1]
NcoK;5;200;4.970044851303101;0.4425888091646142;[0.1 0.1]
coK;1000;1;0.0696587562561035;0.4237743268552079;[0.1 0.1]
coKNN;100;10;0.4528062343597412;0.3848109654721378;[0.1 0.1]
NcoK;100;10;3.9822323322296143;0.3962180861980194;[0.1 0.1]
coKNN;50;20;0.1827492713928222;0.407778497400843;[0.1 0.1]
NcoK;50;20;3.498511791229248;0.3908295061258217;[0.1 0.1]
coKNN;20;50;0.0663340091705322;0.4025425469393035;[0.1 0.1]
NcoK;20;50;2.917494773864746;0.3899185509688659;[0.1 0.1]
coKNN;10;100;0.0314228534698486;0.3988519164853351;[0.1 0.1]
NcoK;10;100;2.997224807739258;0.3823311080268523;[0.1 0.1]
